,X,Y,ProgramName,ProjectTitle,DamageExtent,ID
225,-118.55342856111376,34.18147102807282,Street Improvement,"Bridge Preventative Maintenance for Tampa Av, Pete",21,32208
226,-118.59449087513948,34.14296318577681,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32567
227,-118.61521366534141,34.15097223351543,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32568
228,-118.61478451037416,34.16286897107408,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32569
229,-118.60590101503,34.18348897011535,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32570
230,-118.59976410856973,34.168062169320415,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32571
231,-118.6077892951872,34.14906771111768,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32572
232,-118.61519220787365,34.154164097474286,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32573
233,-118.6131537239514,34.15815930605077,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32574
234,-118.61521366534141,34.15097223351543,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32575
235,-118.61521366534141,34.15097223351543,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32576
236,-118.60590101503,34.18348897011535,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32577
237,-118.60590101503,34.18348897011535,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32578
238,-118.59976410856973,34.168062169320415,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32579
239,-118.59976410856973,34.168062169320415,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32580
240,-118.61519220787365,34.154164097474286,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32581
241,-118.6077892951872,34.14906771111768,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32582
242,-118.6131537239514,34.15815930605077,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32583
243,-118.60806824477716,34.170055031031076,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32584
244,-118.6131537239514,34.15815930605077,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32585
245,-118.60954882740951,34.174404541871574,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32586
246,-118.60072970559207,34.15837237803382,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32587
247,-118.60806824477716,34.170055031031076,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32588
248,-118.59753250721492,34.146954485266065,Wastewater - CSP,SSRP W33 Ventura Blvd & Glade Ave,17,32589
